; Gadget version 2.2.00-BETA running on c6601 Sat Nov  4 21:12:30 2017
; a simulation run was performed giving a likelihood value of 0
switch	value		lower	upper	optimise
anch.rec.2100.3	           1	   -9999     9999        0
anch.rec.2101.3	           1	   -9999     9999        0
anch.rec.2102.3	           1	   -9999     9999        0
anch.rec.2103.3	           1	   -9999     9999        0
anch.rec.2104.3	           1	   -9999     9999        0
anch.rec.2105.3	           1	   -9999     9999        0
anch.rec.2106.3	           1	   -9999     9999        0
anch.rec.2107.3	           1	   -9999     9999        0
anch.rec.2108.3	           1	   -9999     9999        0
anch.rec.2109.3	           1	   -9999     9999        0
anch.rec.2110.3	           1	   -9999     9999        0
anch.rec.2111.3	           1	   -9999     9999        0
anch.rec.2112.3	           1	   -9999     9999        0
anch.rec.2113.3	           1	   -9999     9999        0
anch.rec.2114.3	           1	   -9999     9999        0
anch.rec.2115.3	           1	   -9999     9999        0
anch.rec.2116.3	           1	   -9999     9999        0
anchalpha88	   1.0641457	   -9999     9999        1
anchalpha01	  0.80000004	   -9999     9999        1
anchL5088	   5.0307273	   -9999     9999        1
anchL5001	   6.8909195	   -9999     9999        1
constanteco	   1.0503004	   -9999     9999        1
l50eco	   14.497139	   -9999     9999        1
constantpel	  0.65056614	   -9999     9999        1
l50pel	   14.252497	   -9999     9999        1
constantecorec	         1.5	   -9999     9999        1
l50ecorec	   6.4894695	   -9999     9999        1
rgadget.effort	         1.5	   -9999     9999        1
